Incident_Num,Shooting_Date,District,Shooting_Type_V2,Victim_Gender,Victim_Race,Victim_Ethnicity_NIBRS,Multi_Victim,Date
I162038639,2016-05-17,D4,Non-Fatal,Male,White,Hispanic or Latinx,f,
I162039242,2016-05-19,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162039152,2016-05-19,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162041040,2016-05-25,A7,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I162039152,2016-05-19,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162041316,2016-05-26,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162042032,2016-05-29,A1,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162041974,2016-05-28,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162041694,2016-05-28,C11,Non-Fatal,Male,White,Hispanic or Latinx,f,
I162042228,2016-05-29,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162043232,2016-06-02,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162043217,2016-06-02,A7,Non-Fatal,Male,White,Hispanic or Latinx,f,
I162044119,2016-06-04,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162044152,2016-06-05,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162043871,2016-06-04,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162043842,2016-06-03,B3,Non-Fatal,Female,Unknown,Unknown,f,
I162043804,2016-06-03,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I160266914,2016-05-29,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f,
I162045234,2016-06-08,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162045234,2016-06-08,B2,Fatal,Female,Black or African American,Hispanic or Latinx,t,
I162045234,2016-06-08,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162045234,2016-06-08,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162046995,2016-06-14,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162047077,2016-06-14,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162046888,2016-06-14,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162048538,2016-06-18,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162048538,2016-06-18,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162048551,2016-06-19,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162048551,2016-06-19,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162049094,2016-06-20,B2,Non-Fatal,Male,White,Not Hispanic or Latinx,t,
I162049094,2016-06-20,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162049089,2016-06-20,C6,Non-Fatal,Male,White,Hispanic or Latinx,f,
I162049376,2016-06-21,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162049388,2016-06-21,B3,Non-Fatal,Female,White,Hispanic or Latinx,f,
I162050266,2016-06-24,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162050762,2016-06-26,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162050393,2016-06-25,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162051465,2016-06-28,C6,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f,
I162052637,2016-07-02,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162052935,2016-07-04,D4,Non-Fatal,Female,White,Not Hispanic or Latinx,f,
I162053206,2016-07-05,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I162053206,2016-07-05,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162053206,2016-07-05,B2,Non-Fatal,Female,Unknown,Unknown,t,
I162054043,2016-07-07,C11,Fatal,Male,Unknown,Unknown,t,
I162054043,2016-07-07,C11,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I162054468,2016-07-09,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162054882,2016-07-10,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162054985,2016-07-10,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162055195,2016-07-11,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I162055281,2016-07-11,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f,
I162055287,2016-07-11,C6,Non-Fatal,Female,Unknown,Unknown,f,
I162058558,2016-07-22,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162058557,2016-07-22,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162058281,2016-07-21,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162058298,2016-07-21,D14,Non-Fatal,Male,White,Hispanic or Latinx,f,
I162059512,2016-07-26,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162059501,2016-07-25,C11,Non-Fatal,Male,Unknown,Unknown,t,
I162059501,2016-07-25,C11,Non-Fatal,Male,Unknown,Unknown,t,
I162059839,2016-07-27,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162059839,2016-07-27,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162059839,2016-07-27,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162060990,2016-07-30,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162061073,2016-07-30,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162061140,2016-07-31,C11,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I162061140,2016-07-31,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162060517,2016-07-29,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162064098,2016-08-09,B2,Non-Fatal,Male,White,Not Hispanic or Latinx,f,
I162065072,2016-08-12,B3,Fatal,Male,Unknown,Unknown,f,
I162064751,2016-08-11,B2,Non-Fatal,Male,White,Hispanic or Latinx,f,
I162066023,2016-08-15,C6,Non-Fatal,Male,Unknown,Unknown,f,
I162066265,2016-08-17,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f,
I162067011,2016-08-18,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162066921,2016-08-18,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162066921,2016-08-18,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162067634,2016-08-20,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I162067634,2016-08-20,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I162067634,2016-08-20,B3,Non-Fatal,Male,Unknown,Unknown,t,
I162067634,2016-08-20,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162067634,2016-08-20,B3,Non-Fatal,Male,Unknown,Unknown,t,
I162067894,2016-08-21,E13,Non-Fatal,Male,White,Hispanic or Latinx,f,
I162067346,2016-08-20,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162067346,2016-08-20,B2,Non-Fatal,Female,Unknown,Unknown,t,
I162069476,2016-08-27,E13,Fatal,Male,Unknown,Unknown,f,
I162069471,2016-08-27,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162069477,2016-08-27,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f,
I162069440,2016-08-26,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162068906,2016-08-25,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f,
I162068258,2016-08-23,B3,Non-Fatal,Male,Asian,Not Hispanic or Latinx,f,
I162072272,2016-09-05,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162071993,2016-09-03,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162071653,2016-09-02,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
 I162070706,2016-08-30,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162072280,2016-09-05,B2,Non-Fatal,Male,White,Hispanic or Latinx,f,
I162073342,2016-09-08,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162073020,2016-09-07,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162073682,2016-09-10,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162073682,2016-09-10,D4,Non-Fatal,Female,White,Hispanic or Latinx,t,
I162073953,2016-09-10,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162074754,2016-09-13,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162076074,2016-09-17,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162075905,2016-09-17,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162075905,2016-09-17,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162075905,2016-09-17,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162076439,2016-09-18,D14,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162077078,2016-09-20,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162077070,2016-09-20,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162077092,2016-09-20,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,t,
I162077407,2016-09-21,B3,Non-Fatal,Male,Unknown,Unknown,f,
I162077614,2016-09-22,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162078402,2016-09-25,D4,Non-Fatal,Male,White,Not Hispanic or Latinx,f,
I162078997,2016-09-27,E13,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162080713,2016-10-02,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162080292,2016-10-01,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162081928,2016-10-06,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162081907,2016-10-06,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162082657,2016-10-08,E13,Fatal,Male,White,Not Hispanic or Latinx,f,
I162082684,2016-10-09,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I162082704,2016-10-09,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f,
I162083769,2016-10-12,A7,Non-Fatal,Male,White,Hispanic or Latinx,t,
I162083769,2016-10-12,A7,Non-Fatal,Male,White,Hispanic or Latinx,t,
I162084852,2016-10-16,E13,Non-Fatal,Male,White,Not Hispanic or Latinx,f,
I162084533,2016-10-15,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I162085177,2016-10-17,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162085432,2016-10-18,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162085838,2016-10-19,B2,Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I162086029,2016-10-20,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162086460,2016-10-22,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162086825,2016-10-23,E18,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162088581,2016-10-29,C11,Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I162088581,2016-10-29,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162088605,2016-10-29,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162087894,2016-10-26,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162087131,2016-10-24,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162089429,2016-11-01,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162090282,2016-11-04,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162090277,2016-11-03,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f,
I162090649,2016-11-05,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162090597,2016-11-05,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162090599,2016-11-05,B3,Non-Fatal,Male,White,Hispanic or Latinx,f,
I162091087,2016-11-06,B2,Non-Fatal,Male,White,Hispanic or Latinx,f,
I162091158,2016-11-07,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162091710,2016-11-08,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162092746,2016-11-12,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162092746,2016-11-12,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162092748,2016-11-12,B2,Non-Fatal,Male,White,Hispanic or Latinx,t,
I162092748,2016-11-12,B2,Non-Fatal,Male,White,Hispanic or Latinx,t,
I162092494,2016-11-11,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162093213,2016-11-14,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162093358,2016-11-14,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162093473,2016-11-15,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162094630,2016-11-19,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162095771,2016-11-22,B2,Non-Fatal,Male,White,Not Hispanic or Latinx,f,
I162097703,2016-11-30,C11,Non-Fatal,Male,White,Not Hispanic or Latinx,f,
I162097868,2016-12-01,A1,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162098159,2016-12-01,B2,Non-Fatal,Male,White,Hispanic or Latinx,f,
I162097972,2016-12-01,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162098714,2016-12-03,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162098343,2016-12-02,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162098292,2016-12-02,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162098498,2016-12-03,E18,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162100329,2016-12-09,E13,Non-Fatal,Male,White,Not Hispanic or Latinx,f,
I162100193,2016-12-08,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162101004,2016-12-11,B2,Non-Fatal,Male,White,Not Hispanic or Latinx,t,
I162101004,2016-12-11,B2,Non-Fatal,Male,White,Not Hispanic or Latinx,t,
I162101031,2016-12-11,D4,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I162101528,2016-12-13,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162101528,2016-12-13,B2,Non-Fatal,Male,White,Hispanic or Latinx,t,
I162101338,2016-12-12,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162101338,2016-12-12,C6,Non-Fatal,Male,White,Not Hispanic or Latinx,f,
I162102801,2016-12-17,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162104173,2016-12-22,B3,Non-Fatal,Male,White,Not Hispanic or Latinx,f,
I162104474,2016-12-23,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162105651,2016-12-28,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162106131,2016-12-30,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172000047,2017-01-01,B3,Non-Fatal,Male,White,Hispanic or Latinx,t,
I172000047,2017-01-01,B3,Non-Fatal,Male,White,Hispanic or Latinx,t,
I172002024,2017-01-08,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172002902,2017-01-11,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172002902,2017-01-11,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172002970,2017-01-11,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172002376,2017-01-09,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172004542,2017-01-17,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172005603,2017-01-21,C11,Non-Fatal,Male,White,Not Hispanic or Latinx,f,
I172005625,2017-01-21,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172005430,2017-01-21,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172005430,2017-01-21,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172006241,2017-01-23,B3,Non-Fatal,Male,White,Hispanic or Latinx,f,
I172007832,2017-01-29,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f,
I172007456,2017-01-27,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172008070,2017-01-30,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172008274,2017-01-30,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172009839,2017-02-05,C11,Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I172009433,2017-02-04,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I172010342,2017-02-07,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f,
I172013903,2017-02-20,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172014254,2017-02-21,B2,Fatal,Male,Black or African American,Hispanic or Latinx,f,
I172014595,2017-02-22,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172014595,2017-02-22,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172014851,2017-02-23,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172014754,2017-02-23,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172016312,2017-02-28,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172018486,2017-03-08,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172019108,2017-03-10,C11,Non-Fatal,Male,White,Hispanic or Latinx,f,
I172020425,2017-03-15,A15,Non-Fatal,Female,White,Not Hispanic or Latinx,f,
I172024478,2017-03-29,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I172023114,2017-03-24,B3,Non-Fatal,Female,White,Hispanic or Latinx,f,
I172024077,2017-03-28,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172024785,2017-03-30,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172026026,2017-04-03,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172026760,2017-04-06,C11,Non-Fatal,Male,White,Hispanic or Latinx,f,
I172027171,2017-04-07,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172027171,2017-04-07,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I172028061,2017-04-11,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172028270,2017-04-11,C6,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172028584,2017-04-12,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172028574,2017-04-12,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172028837,2017-04-13,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172029267,2017-04-15,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172029428,2017-04-15,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152061366,2015-07-24,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172029794,2017-04-17,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172031211,2017-04-21,B2,Fatal,Male,Black or African American,Hispanic or Latinx,f,
I172031721,2017-04-23,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172031721,2017-04-23,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I172031736,2017-04-23,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I172031740,2017-04-23,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172031688,2017-04-23,E13,Non-Fatal,Female,White,Hispanic or Latinx,f,
I152042735-00,2015-05-24,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152043021-00,2015-05-25,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172032046,2017-04-24,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172032046,2017-04-24,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172032306,2017-04-25,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172033610,2017-04-30,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172033274,2017-04-28,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172033274,2017-04-28,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172033274,2017-04-28,C11,Non-Fatal,Male,White,Not Hispanic or Latinx,t,
I172032945,2017-04-27,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172034834,2017-05-03,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172034834,2017-05-03,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I172035478,2017-05-05,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172035784,2017-05-07,C11,Non-Fatal,Male,White,Hispanic or Latinx,f,
I172037777,2017-05-13,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172037641,2017-05-13,B2,Non-Fatal,Male,White,Hispanic or Latinx,t,
I172037641,2017-05-13,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172036626,2017-05-09,C6,Non-Fatal,Male,White,Hispanic or Latinx,f,
I172036620,2017-05-09,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172040229,2017-05-21,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172040210,2017-05-21,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172039930,2017-05-20,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172039041,2017-05-18,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172040839,2017-05-23,B2,Non-Fatal,Male,White,Hispanic or Latinx,f,
I172041785,2017-05-26,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172041830,2017-05-27,A1,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172041368,2017-05-25,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f,
I172044027,2017-06-03,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172044102,2017-06-03,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172043809,2017-06-02,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172043809,2017-06-02,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172045331,2017-06-07,D4,Non-Fatal,Female,White,Hispanic or Latinx,f,
I172045333,2017-06-07,B2,Non-Fatal,Male,White,Hispanic or Latinx,f,
I172045363,2017-06-07,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172045363,2017-06-07,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172045372,2017-06-08,B2,Non-Fatal,Male,White,Hispanic or Latinx,f,
I172046423,2017-06-11,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172046001,2017-06-10,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172045999,2017-06-10,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172045865,2017-06-09,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172046900,2017-06-12,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172046848,2017-06-12,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172047249,2017-06-13,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172047604,2017-06-14,E13,Non-Fatal,Male,White,Hispanic or Latinx,f,
I172048352,2017-06-16,C11,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I172048679,2017-06-18,C11,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I172048679,2017-06-18,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172049184,2017-06-19,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172049184,2017-06-19,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172050864,2017-06-25,E13,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I172050866,2017-06-25,E13,Non-Fatal,Male,White,Hispanic or Latinx,f,
I172050746,2017-06-24,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172051446,2017-06-26,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172051378,2017-06-26,C11,Non-Fatal,Male,White,Hispanic or Latinx,f,
I172051926,2017-06-28,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172052230,2017-06-29,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172052541,2017-06-30,E13,Non-Fatal,Male,White,Hispanic or Latinx,t,
I172052541,2017-06-30,E13,Non-Fatal,Male,White,Hispanic or Latinx,t,
I172052482,2017-06-29,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172052482,2017-06-29,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,t,
I172053412,2017-07-02,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172053412,2017-07-02,B2,Non-Fatal,Male,White,Hispanic or Latinx,t,
I172053412,2017-07-02,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I172053409,2017-07-02,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172053177,2017-07-02,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172053026,2017-07-01,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172054029,2017-07-05,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172053885,2017-07-04,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I172053819,2017-07-04,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
172053760,2017-07-04,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I172053750,2017-07-03,D4,Non-Fatal,Male,Black or African American,Hispanic or Latinx,t,
I172053750,2017-07-03,D4,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I172053750,2017-07-03,D4,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I172054407,2017-07-06,C11,Non-Fatal,Male,White,Hispanic or Latinx,f,
I172054624,2017-07-06,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
